layer,field,required_for,requirement_level,source_or_derivation,failure_effect
fixture_environment,game_state_contact_regime,fouls_bookings_tackles,required,scoreline_state_and_fixture_context_overlay,fouls/bookings cannot be HIGH if missing
fixture_environment,draw_state_contact_regime,fouls_bookings_tackles,conditional,scoreline_state_and_fixture_context_overlay,boost only when role/channel align
fixture_environment,comfortable_control_suppressor,fouls_bookings,required,possession_transition_control_overlay,must be applied before boosts
fixture_environment,weather_context,all,conditional,weather_overlay,required only if material weather flag exists
referee,referee_name,fouls_bookings,required,fixtures_master_or_api_football,bookings cannot exceed AMBER_PARTIAL if missing
referee,ref_cards_per_match,bookings,required,referee_profile_builder,bookings cannot be HIGH if missing
referee,ref_fouls_called_per_match,fouls_bookings,required,referee_profile_builder,fouls/bookings cannot be HIGH if missing
referee,ref_foul_to_card_ratio,bookings,required,referee_profile_builder,bookings cannot be HIGH if missing
referee,ref_foul_calling_tempo,fouls_bookings,required,referee_profile_builder,fouls cannot be HIGH if missing
referee,ref_card_conversion_rate,bookings,required,referee_profile_builder,bookings cannot be HIGH if missing
referee,ref_tactical_foul_punishment,bookings,preferred,referee_profile_builder_or_manual_ref_overlay,bookings capped at MEDIUM if tactical-foul conversion unknown
referee,ref_penalty_tendency,bookings,preferred,referee_profile_builder,add referee caution if missing
referee,ref_red_card_tendency,bookings,preferred,referee_profile_builder,add referee caution if missing
referee,ref_home_away_card_tilt,bookings,preferred,referee_profile_builder,add tilt unavailable note if missing
referee,team_fouls_for_against,fouls_bookings,required,team_event_rolling_features,fouls/bookings cannot be HIGH if missing
referee,team_cards_for_against,bookings,required,team_event_rolling_features,bookings cannot be HIGH if missing
referee,player_booking_efficiency,bookings,required,player_event_rolling_features,booking candidate WATCH_ONLY if missing
referee,live_market_card_line,bookings,optional,odds_prematch_long,market confirmation unavailable if missing
referee,booking_cascade_gate,bookings,required,contact_role_pressure_channel_spec,bookings cannot be HIGH unless cascade gate passes
